Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
2.424242424,Oreothlypis peregrina,22.42424242,Solitary,,Jerico,10,30,10:00,1,1,1.967213115
2.168674699,Oreothlypis peregrina,29.63855422,Solitary,,Tamesis,25,90,17:00,1,1,1.836734694
1.967213115,Oreothlypis peregrina,23.60655738,Flock,,Jerico,7,20,11:00,11,22,0.967741935
1.836734694,Oreothlypis peregrina,15.91836735,Flock,,Fredonia,13,50,9:00,10,15,
1.463414634,Oreothlypis peregrina,21.95121951,Solitary,,Fredonia,17,0,14:00,1,2,
0.967741935,Oreothlypis peregrina,18.87096774,Flock,,Jerico,8,40,8:00,15,27,
0,Oreothlypis peregrina,22.7027027,Solitary,,Jerico,5,20,12:00,1,2,
0,Oreothlypis peregrina,18.46153846,Solitary,,Fredonia,13,50,17:00,1,1,
2.3,Oreothlypis peregrina,22.42424242,Solitary,,Jerico,10,30,10:00,1,1,
2,Oreothlypis peregrina,29.63855422,Solitary,,Tamesis,25,90,17:00,1,1,
